feature_index,feature_name,group,definition,unit,window,strictly_causal_in_centered_variant,strictly_causal_variant_definition,preprocessing
0,GR,A,raw LWD response at current depth,API,current depth,yes,none,3-sigma clipped copy; robust median/IQR scaling
1,CNL,A,raw LWD response at current depth,%,current depth,yes,none,3-sigma clipped copy; robust median/IQR scaling
2,DEN,A,raw LWD response at current depth,g/cm^3,current depth,yes,none,3-sigma clipped copy; robust median/IQR scaling
3,AC,A,raw LWD response at current depth,us/ft,current depth,yes,none,3-sigma clipped copy; robust median/IQR scaling
4,RLA5,A,raw LWD response at current depth,ohm*m,current depth,yes,none,3-sigma clipped copy; robust median/IQR scaling
5,LithProb_0,B,eRF probability for Basalt,probability,current depth,yes,none,no scaling; upstream eRF fitted without active calibration/evaluation rows
6,LithProb_1,B,eRF probability for Andesite,probability,current depth,yes,none,no scaling; upstream eRF fitted without active calibration/evaluation rows
7,LithProb_2,B,eRF probability for Rhyolite,probability,current depth,yes,none,no scaling; upstream eRF fitted without active calibration/evaluation rows
8,LithProb_3,B,eRF probability for Andesitic volcanic breccia,probability,current depth,yes,none,no scaling; upstream eRF fitted without active calibration/evaluation rows
9,LithProb_4,B,eRF probability for Andesitic brecciated lava,probability,current depth,yes,none,no scaling; upstream eRF fitted without active calibration/evaluation rows
10,LithProb_5,B,eRF probability for Andesitic tuff lava,probability,current depth,yes,none,no scaling; upstream eRF fitted without active calibration/evaluation rows
11,LithProb_6,B,eRF probability for Andesitic tuff,probability,current depth,yes,none,no scaling; upstream eRF fitted without active calibration/evaluation rows
12,LithProb_7,B,eRF probability for Rhyolitic brecciated lava,probability,current depth,yes,none,no scaling; upstream eRF fitted without active calibration/evaluation rows
13,LithProb_8,B,eRF probability for Rhyolitic tuff lava,probability,current depth,yes,none,no scaling; upstream eRF fitted without active calibration/evaluation rows
14,LithProb_9,B,eRF probability for Rhyolitic volcanic breccia,probability,current depth,yes,none,no scaling; upstream eRF fitted without active calibration/evaluation rows
15,LithProb_10,B,eRF probability for Rhyolitic tuff,probability,current depth,yes,none,no scaling; upstream eRF fitted without active calibration/evaluation rows
16,LithProb_11,B,eRF probability for Sedimentary volcanic breccia,probability,current depth,yes,none,no scaling; upstream eRF fitted without active calibration/evaluation rows
17,LithProb_12,B,eRF probability for Sedimentary tuff,probability,current depth,yes,none,no scaling; upstream eRF fitted without active calibration/evaluation rows
18,LithProb_13,B,eRF probability for Trachytic brecciated lava,probability,current depth,yes,none,no scaling; upstream eRF fitted without active calibration/evaluation rows
